zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,cluster_id,market_segment,restaurant category,price positioning,restaurant_source_file
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,819.5,RURAL,122627,adult,2.5326139474955713,1590.0,31577.0,82.0,4,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,243.5,RURAL,96145,millennial,10.70602078838988,351.0,8323.0,98.0,9,Premium Dining Market,Mexican cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,1059.9,SUBURBAN,91680,adult,0.6627056672760512,1590.0,31577.0,84.0,4,Premium Dining Market,Health-oriented restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,787.7,RURAL,42354,millennial,-0.5785491766800178,1590.0,31577.0,70.0,8,Social Dining Market,General restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38111,38111,Memphis,TN,Shelby,35.11014,-89.94429,42322.0,2.35,1656.5,SUBURBAN,50151,millennial,-3.833306823604263,1590.0,31577.0,79.0,0,Social Dining Market,Wings-focused restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38053,38053,Millington,TN,Shelby,35.33583,-89.95,25556.0,2.63,60.2,RURAL,57012,adult,-3.827193015466827,1590.0,31577.0,41.0,0,Social Dining Market,Beverage-led restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,267.7,RURAL,131354,adult,3.716008137516565,1590.0,31577.0,74.0,9,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38664,38664,Robinsonville,MS,Tunica,34.80434,-90.33217,3292.0,2.8,13.5,RURAL,45133,young,3.9141414141414144,19.0,339.0,8.0,1,Premium Dining Market,Fast-service restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38128,38128,Memphis,TN,Shelby,35.22623,-89.92612,44400.0,2.78,688.7,RURAL,40497,millennial,-1.9975720119192142,1590.0,31577.0,43.0,8,Social Dining Market,Fast-service restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,274.5,RURAL,35018,millennial,2.5987879888331555,1590.0,31577.0,23.0,3,Family Value Market,Fast-service restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,648.3,RURAL,58854,millennial,1.8102389078498295,351.0,8323.0,83.0,0,Social Dining Market,Fast-service restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38637,38637,Horn Lake,MS,DeSoto,34.95105,-90.05004,26652.0,2.66,649.4,RURAL,57111,millennial,-1.2852327863994963,351.0,8323.0,44.0,0,Social Dining Market,Fast-service restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38112,38112,Memphis,TN,Shelby,35.14791,-89.97661,16334.0,2.25,1350.5,SUBURBAN,49560,millennial,-3.1427893738140416,1590.0,31577.0,28.0,0,Social Dining Market,Wings-focused restaurant,mid-market trade area,MEM_compstore_restaurants.csv
